t_min,SoC_true_%,I_mA,Vterm_V,phase,STAT,fw_old_%,fw_new_%
71.583,62.65,300.0,4.0377,CC,0,50.3,50.3
71.667,62.72,300.0,4.0381,CC,0,50.4,50.4
71.750,62.79,300.0,4.0386,CC,0,50.4,50.4
71.833,62.86,300.0,4.0391,CC,0,50.5,50.5
71.917,62.93,300.0,4.0395,CC,0,50.5,50.5
72.000,63.00,300.0,4.0400,CC,0,50.6,50.6
72.083,63.07,300.0,4.0405,CC,0,50.7,50.7
72.167,63.14,300.0,4.0409,CC,0,50.7,50.7
72.250,63.21,300.0,4.0414,CC,0,50.8,50.8
72.333,63.28,300.0,4.0419,CC,0,50.8,50.8
72.417,63.35,300.0,4.0423,CC,0,50.9,50.9
72.500,63.42,300.0,4.0428,CC,0,50.9,50.9
72.583,63.49,300.0,4.0432,CC,0,51.0,51.0
72.667,63.56,300.0,4.0437,CC,0,51.0,51.0
72.750,63.62,300.0,4.0442,CC,0,51.1,51.1
72.833,63.69,300.0,4.0446,CC,0,51.1,51.1
72.917,63.76,300.0,4.0451,CC,0,51.2,51.2
73.000,63.83,300.0,4.0456,CC,0,51.2,51.2
73.083,63.90,300.0,4.0460,CC,0,51.3,51.3
73.167,63.97,300.0,4.0465,CC,0,51.3,51.3
73.250,64.04,300.0,4.0469,CC,0,51.4,51.4
73.333,64.11,300.0,4.0474,CC,0,51.4,51.4
73.417,64.18,300.0,4.0479,CC,0,51.5,51.5
73.500,64.25,300.0,4.0483,CC,0,51.5,51.5
73.583,64.32,300.0,4.0488,CC,0,51.6,51.6
73.667,64.39,300.0,4.0493,CC,0,51.7,51.7
73.750,64.46,300.0,4.0497,CC,0,51.7,51.7
73.833,64.53,300.0,4.0502,CC,0,51.8,51.8
73.917,64.60,300.0,4.0506,CC,0,51.8,51.8
74.000,64.67,300.0,4.0511,CC,0,51.9,51.9
74.083,64.74,300.0,4.0516,CC,0,51.9,51.9
74.167,64.81,300.0,4.0520,CC,0,52.0,52.0
74.250,64.87,300.0,4.0525,CC,0,52.0,52.0
74.333,64.94,300.0,4.0530,CC,0,52.1,52.1
74.417,65.01,300.0,4.0534,CC,0,52.1,52.1
74.500,65.08,300.0,4.0539,CC,0,52.2,52.2
74.583,65.15,300.0,4.0544,CC,0,52.2,52.2
74.667,65.22,300.0,4.0548,CC,0,52.3,52.3
74.750,65.29,300.0,4.0553,CC,0,52.3,52.3
74.833,65.36,300.0,4.0557,CC,0,52.4,52.4
74.917,65.43,300.0,4.0562,CC,0,52.4,52.4
75.000,65.50,300.0,4.0567,CC,0,52.5,52.5
75.083,65.57,300.0,4.0571,CC,0,52.6,52.6
75.167,65.64,300.0,4.0576,CC,0,52.6,52.6
75.250,65.71,300.0,4.0581,CC,0,52.7,52.7
75.333,65.78,300.0,4.0585,CC,0,52.7,52.7
75.417,65.85,300.0,4.0590,CC,0,52.8,52.8
75.500,65.92,300.0,4.0594,CC,0,52.8,52.8
75.583,65.99,300.0,4.0599,CC,0,52.9,52.9
75.667,66.06,300.0,4.0604,CC,0,52.9,52.9
75.750,66.12,300.0,4.0608,CC,0,53.0,53.0
75.833,66.19,300.0,4.0613,CC,0,53.0,53.0
75.917,66.26,300.0,4.0618,CC,0,53.1,53.1
76.000,66.33,300.0,4.0622,CC,0,53.1,53.1
76.083,66.40,300.0,4.0627,CC,0,53.2,53.2
76.167,66.47,300.0,4.0631,CC,0,53.2,53.2
76.250,66.54,300.0,4.0636,CC,0,53.3,53.3
76.333,66.61,300.0,4.0641,CC,0,53.3,53.3
76.417,66.68,300.0,4.0645,CC,0,53.4,53.4
76.500,66.75,300.0,4.0650,CC,0,53.5,53.5
76.583,66.82,300.0,4.0655,CC,0,53.5,53.5
76.667,66.89,300.0,4.0659,CC,0,53.6,53.6
76.750,66.96,300.0,4.0664,CC,0,53.6,53.6
76.833,67.03,300.0,4.0669,CC,0,53.7,53.7
76.917,67.10,300.0,4.0673,CC,0,53.7,53.7
77.000,67.17,300.0,4.0678,CC,0,53.8,53.8
77.083,67.24,300.0,4.0682,CC,0,53.8,53.8
77.167,67.31,300.0,4.0687,CC,0,53.9,53.9
77.250,67.37,300.0,4.0692,CC,0,53.9,53.9
77.333,67.44,300.0,4.0696,CC,0,54.0,54.0
77.417,67.51,300.0,4.0701,CC,0,54.0,54.0
77.500,67.58,300.0,4.0706,CC,0,54.1,54.1
77.583,67.65,300.0,4.0710,CC,0,54.1,54.1
77.667,67.72,300.0,4.0715,CC,0,54.2,54.2
77.750,67.79,300.0,4.0719,CC,0,54.2,54.2
77.833,67.86,300.0,4.0724,CC,0,54.3,54.3
77.917,67.93,300.0,4.0729,CC,0,54.3,54.3
78.000,68.00,300.0,4.0733,CC,0,54.4,54.4
78.083,68.07,300.0,4.0738,CC,0,54.5,54.5
78.167,68.14,300.0,4.0743,CC,0,54.5,54.5
78.250,68.21,300.0,4.0747,CC,0,54.6,54.6
78.333,68.28,300.0,4.0752,CC,0,54.6,54.6
78.417,68.35,300.0,4.0756,CC,0,54.7,54.7
78.500,68.42,300.0,4.0761,CC,0,54.7,54.7
78.583,68.49,300.0,4.0766,CC,0,54.8,54.8
78.667,68.56,300.0,4.0770,CC,0,54.8,54.8
78.750,68.62,300.0,4.0775,CC,0,54.9,54.9
78.833,68.69,300.0,4.0780,CC,0,54.9,54.9
78.917,68.76,300.0,4.0784,CC,0,55.0,55.0
79.000,68.83,300.0,4.0789,CC,0,55.0,55.0
79.083,68.90,300.0,4.0794,CC,0,55.1,55.1
79.167,68.97,300.0,4.0798,CC,0,55.1,55.1
79.250,69.04,300.0,4.0803,CC,0,55.2,55.2
79.333,69.11,300.0,4.0807,CC,0,55.2,55.2
79.417,69.18,300.0,4.0812,CC,0,55.3,55.3
79.500,69.25,300.0,4.0817,CC,0,55.4,55.4
79.583,69.32,300.0,4.0821,CC,0,55.4,55.4
79.667,69.39,300.0,4.0826,CC,0,55.5,55.5
79.750,69.46,300.0,4.0831,CC,0,55.5,55.5
79.833,69.53,300.0,4.0835,CC,0,55.6,55.6
79.917,69.60,300.0,4.0840,CC,0,55.6,55.6
80.000,69.67,300.0,4.0844,CC,0,55.7,55.7
80.083,69.74,300.0,4.0849,CC,0,55.7,55.7
80.167,69.81,300.0,4.0854,CC,0,55.8,55.8
80.250,69.87,300.0,4.0858,CC,0,55.8,55.8
80.333,69.94,300.0,4.0863,CC,0,55.9,55.9
80.417,70.01,300.0,4.0868,CC,0,55.9,55.9
80.500,70.08,300.0,4.0872,CC,0,56.0,56.0
80.583,70.15,300.0,4.0877,CC,0,56.0,56.0
80.667,70.22,300.0,4.0881,CC,0,56.1,56.1
80.750,70.29,300.0,4.0886,CC,0,56.1,56.1
80.833,70.36,300.0,4.0891,CC,0,56.2,56.2
80.917,70.43,300.0,4.0895,CC,0,56.2,56.2
81.000,70.50,300.0,4.0900,CC,0,56.3,56.3
81.083,70.57,300.0,4.0905,CC,0,56.4,56.4
81.167,70.64,300.0,4.0909,CC,0,56.4,56.4
81.250,70.71,300.0,4.0914,CC,0,56.5,56.5
81.333,70.78,300.0,4.0919,CC,0,56.5,56.5
81.417,70.85,300.0,4.0923,CC,0,56.6,56.6
81.500,70.92,300.0,4.0928,CC,0,56.6,56.6
81.583,70.99,300.0,4.0932,CC,0,56.7,56.7
81.667,71.06,300.0,4.0937,CC,0,56.7,56.7
81.750,71.12,300.0,4.0942,CC,0,56.8,56.8
81.833,71.19,300.0,4.0946,CC,0,56.8,56.8
81.917,71.26,300.0,4.0951,CC,0,56.9,56.9
82.000,71.33,300.0,4.0956,CC,0,56.9,56.9
82.083,71.40,300.0,4.0960,CC,0,57.0,57.0
82.167,71.47,300.0,4.0965,CC,0,57.0,57.0
82.250,71.54,300.0,4.0969,CC,0,57.1,57.1
82.333,71.61,300.0,4.0974,CC,0,57.1,57.1
82.417,71.68,300.0,4.0979,CC,0,57.2,57.2
82.500,71.75,300.0,4.0983,CC,0,57.3,57.3
82.583,71.82,300.0,4.0988,CC,0,57.3,57.3
82.667,71.89,300.0,4.0993,CC,0,57.4,57.4
82.750,71.96,300.0,4.0997,CC,0,57.4,57.4
82.833,72.03,300.0,4.1002,CC,0,57.5,57.5
82.917,72.10,300.0,4.1006,CC,0,57.5,57.5
83.000,72.17,300.0,4.1011,CC,0,57.6,57.6
83.083,72.24,300.0,4.1016,CC,0,57.6,57.6
83.167,72.31,300.0,4.1020,CC,0,57.7,57.7
83.250,72.37,300.0,4.1025,CC,0,57.7,57.7
83.333,72.44,300.0,4.1030,CC,0,57.8,57.8
83.417,72.51,300.0,4.1034,CC,0,57.8,57.8
83.500,72.58,300.0,4.1039,CC,0,57.9,57.9
83.583,72.65,300.0,4.1044,CC,0,57.9,57.9
83.667,72.72,300.0,4.1048,CC,0,58.0,58.0
83.750,72.79,300.0,4.1053,CC,0,58.0,58.0
83.833,72.86,300.0,4.1057,CC,0,58.1,58.1
83.917,72.93,300.0,4.1062,CC,0,58.1,58.1
84.000,73.00,300.0,4.1067,CC,0,58.2,58.2
84.083,73.07,300.0,4.1071,CC,0,58.3,58.3
84.167,73.14,300.0,4.1076,CC,0,58.3,58.3
84.250,73.21,300.0,4.1081,CC,0,58.4,58.4
84.333,73.28,300.0,4.1085,CC,0,58.4,58.4
84.417,73.35,300.0,4.1090,CC,0,58.5,58.5
84.500,73.42,300.0,4.1094,CC,0,58.5,58.5
84.583,73.49,300.0,4.1099,CC,0,58.6,58.6
84.667,73.56,300.0,4.1104,CC,0,58.6,58.6
84.750,73.62,300.0,4.1108,CC,0,58.7,58.7
84.833,73.69,300.0,4.1113,CC,0,58.7,58.7
84.917,73.76,300.0,4.1118,CC,0,58.8,58.8
85.000,73.83,300.0,4.1122,CC,0,58.8,58.8
85.083,73.90,300.0,4.1127,CC,0,58.9,58.9
85.167,73.97,300.0,4.1131,CC,0,58.9,58.9
85.250,74.04,300.0,4.1136,CC,0,59.0,59.0
85.333,74.11,300.0,4.1141,CC,0,59.0,59.0
85.417,74.18,300.0,4.1145,CC,0,59.1,59.1
85.500,74.25,300.0,4.1150,CC,0,59.1,59.1
85.583,74.32,300.0,4.1155,CC,0,59.2,59.2
85.667,74.39,300.0,4.1159,CC,0,59.3,59.3
85.750,74.46,300.0,4.1164,CC,0,59.3,59.3
85.833,74.53,300.0,4.1169,CC,0,59.4,59.4
85.917,74.60,300.0,4.1173,CC,0,59.4,59.4
86.000,74.67,300.0,4.1178,CC,0,59.5,59.5
86.083,74.74,300.0,4.1182,CC,0,59.5,59.5
86.167,74.81,300.0,4.1187,CC,0,59.6,59.6
86.250,74.87,300.0,4.1192,CC,0,59.6,59.6
86.333,74.94,300.0,4.1196,CC,0,59.7,59.7
86.417,75.01,300.0,4.1201,CC,0,59.7,59.7
86.500,75.08,300.0,4.1207,CC,0,59.8,59.8
86.583,75.15,300.0,4.1212,CC,0,59.8,59.8
86.667,75.22,300.0,4.1218,CC,0,59.9,59.9
86.750,75.29,300.0,4.1223,CC,0,59.9,59.9
86.833,75.36,300.0,4.1229,CC,0,60.0,60.0
86.917,75.43,300.0,4.1234,CC,0,60.0,60.0
87.000,75.50,300.0,4.1240,CC,0,60.1,60.1
87.083,75.57,300.0,4.1246,CC,0,60.2,60.2
87.167,75.64,300.0,4.1251,CC,0,60.2,60.2
87.250,75.71,300.0,4.1257,CC,0,60.3,60.3
87.333,75.78,300.0,4.1262,CC,0,60.3,60.3
87.417,75.85,300.0,4.1268,CC,0,60.4,60.4
87.500,75.92,300.0,4.1273,CC,0,60.4,60.4
87.583,75.99,300.0,4.1279,CC,0,60.5,60.5
87.667,76.06,300.0,4.1284,CC,0,60.5,60.5
87.750,76.12,300.0,4.1290,CC,0,60.6,60.6
87.833,76.19,300.0,4.1296,CC,0,60.6,60.6
87.917,76.26,300.0,4.1301,CC,0,60.7,60.7
88.000,76.33,300.0,4.1307,CC,0,60.7,60.7
88.083,76.40,300.0,4.1312,CC,0,60.8,60.8
88.167,76.47,300.0,4.1318,CC,0,60.8,60.8
88.250,76.54,300.0,4.1323,CC,0,60.9,60.9
88.333,76.61,300.0,4.1329,CC,0,60.9,60.9
88.417,76.68,300.0,4.1334,CC,0,61.0,61.0
88.500,76.75,300.0,4.1340,CC,0,61.0,61.0
88.583,76.82,300.0,4.1346,CC,0,61.1,61.1
88.667,76.89,300.0,4.1351,CC,0,61.2,61.2
88.750,76.96,300.0,4.1357,CC,0,61.2,61.2
88.833,77.03,300.0,4.1362,CC,0,61.3,61.3
88.917,77.10,300.0,4.1368,CC,0,61.3,61.3
89.000,77.17,300.0,4.1373,CC,0,61.4,61.4
89.083,77.24,300.0,4.1379,CC,0,61.4,61.4
89.167,77.31,300.0,4.1384,CC,0,61.5,61.5
89.250,77.37,300.0,4.1390,CC,0,61.5,61.5
89.333,77.44,300.0,4.1396,CC,0,61.6,61.6
89.417,77.51,300.0,4.1401,CC,0,61.6,61.6
89.500,77.58,300.0,4.1407,CC,0,61.7,61.7
89.583,77.65,300.0,4.1412,CC,0,61.7,61.7
89.667,77.72,300.0,4.1418,CC,0,61.8,61.8
89.750,77.79,300.0,4.1423,CC,0,61.8,61.8
89.833,77.86,300.0,4.1429,CC,0,61.9,61.9
89.917,77.93,300.0,4.1434,CC,0,61.9,61.9
90.000,78.00,300.0,4.1440,CC,0,62.0,62.0
90.083,78.07,300.0,4.1446,CC,0,62.1,62.1
90.167,78.14,300.0,4.1451,CC,0,62.1,62.1
90.250,78.21,300.0,4.1457,CC,0,62.2,62.2
90.333,78.28,300.0,4.1462,CC,0,62.2,62.2
90.417,78.35,300.0,4.1468,CC,0,62.3,62.3
90.500,78.42,300.0,4.1473,CC,0,62.3,62.3
90.583,78.49,300.0,4.1479,CC,0,62.4,62.4
90.667,78.56,300.0,4.1484,CC,0,62.4,62.4
90.750,78.62,300.0,4.1490,CC,0,62.5,62.5
90.833,78.69,300.0,4.1496,CC,0,62.5,62.5
90.917,78.76,300.0,4.1501,CC,0,62.6,62.6
91.000,78.83,300.0,4.1507,CC,0,62.6,62.6
91.083,78.90,300.0,4.1512,CC,0,62.7,62.7
91.167,78.97,300.0,4.1518,CC,0,62.7,62.7
91.250,79.04,300.0,4.1523,CC,0,62.8,62.8
91.333,79.11,300.0,4.1529,CC,0,62.8,62.8
91.417,79.18,300.0,4.1534,CC,0,62.9,62.9
91.500,79.25,300.0,4.1540,CC,0,62.9,62.9
91.583,79.32,300.0,4.1546,CC,0,63.0,63.0
91.667,79.39,300.0,4.1551,CC,0,63.1,63.1
91.750,79.46,300.0,4.1557,CC,0,63.1,63.1
91.833,79.53,300.0,4.1562,CC,0,63.2,63.2
91.917,79.60,300.0,4.1568,CC,0,63.2,63.2
92.000,79.67,300.0,4.1573,CC,0,63.3,63.3
92.083,79.74,300.0,4.1579,CC,0,63.3,63.3
92.167,79.81,300.0,4.1584,CC,0,63.4,63.4
92.250,79.87,300.0,4.1590,CC,0,63.4,63.4
92.333,79.94,300.0,4.1596,CC,0,63.5,63.5
92.417,80.01,300.0,4.1601,CC,0,63.5,63.5
92.500,80.08,300.0,4.1607,CC,0,63.6,63.6
92.583,80.15,300.0,4.1612,CC,0,63.6,63.6
92.667,80.22,300.0,4.1618,CC,0,63.7,63.7
92.750,80.29,300.0,4.1623,CC,0,63.7,63.7
92.833,80.36,300.0,4.1629,CC,0,63.8,63.8
92.917,80.43,300.0,4.1634,CC,0,63.8,63.8
93.000,80.50,300.0,4.1640,CC,0,63.9,63.9
93.083,80.57,300.0,4.1646,CC,0,64.0,64.0
93.167,80.64,300.0,4.1651,CC,0,64.0,64.0
93.250,80.71,300.0,4.1657,CC,0,64.1,64.1
93.333,80.78,300.0,4.1662,CC,0,64.1,64.1
93.417,80.85,300.0,4.1668,CC,0,64.2,64.2
93.500,80.92,300.0,4.1673,CC,0,64.2,64.2
93.583,80.99,300.0,4.1679,CC,0,64.3,64.3
93.667,81.06,300.0,4.1684,CC,0,64.3,64.3
93.750,81.12,300.0,4.1690,CC,0,64.4,64.4
93.833,81.19,300.0,4.1696,CC,0,64.4,64.4
93.917,81.26,300.0,4.1701,CC,0,64.5,64.5
94.000,81.33,300.0,4.1707,CC,0,64.5,64.5
94.083,81.40,300.0,4.1712,CC,0,64.6,64.6
94.167,81.47,300.0,4.1718,CC,0,64.6,64.6
94.250,81.54,300.0,4.1723,CC,0,64.7,64.7
94.333,81.61,300.0,4.1729,CC,0,64.7,64.7
94.417,81.68,300.0,4.1734,CC,0,64.8,64.8
94.500,81.75,300.0,4.1740,CC,0,64.8,64.8
94.583,81.82,300.0,4.1746,CC,0,64.9,64.9
94.667,81.89,300.0,4.1751,CC,0,65.0,65.0
94.750,81.96,300.0,4.1757,CC,0,65.0,65.0
94.833,82.03,300.0,4.1762,CC,0,65.1,65.1
94.917,82.10,300.0,4.1768,CC,0,65.1,65.1
95.000,82.17,300.0,4.1773,CC,0,65.2,65.2
95.083,82.24,300.0,4.1779,CC,0,65.2,65.2
95.167,82.31,300.0,4.1784,CC,0,65.3,65.3
95.250,82.37,300.0,4.1790,CC,0,65.3,65.3
95.333,82.44,300.0,4.1796,CC,0,65.4,65.4
95.417,82.51,300.0,4.1801,CC,0,65.4,65.4
95.500,82.58,300.0,4.1807,CC,0,65.5,65.5
95.583,82.65,300.0,4.1812,CC,0,65.5,65.5
95.667,82.72,300.0,4.1818,CC,0,65.6,65.6
95.750,82.79,300.0,4.1823,CC,0,65.6,65.6
95.833,82.86,300.0,4.1829,CC,0,65.7,65.7
95.917,82.93,300.0,4.1834,CC,0,65.7,65.7
96.000,83.00,300.0,4.1840,CC,0,65.8,65.8
96.083,83.07,300.0,4.1846,CC,0,65.9,65.9
96.167,83.14,300.0,4.1851,CC,0,65.9,65.9
96.250,83.21,300.0,4.1857,CC,0,66.0,66.0
96.333,83.28,300.0,4.1862,CC,0,66.0,66.0
96.417,83.35,300.0,4.1868,CC,0,66.1,66.1
96.500,83.42,300.0,4.1873,CC,0,66.1,66.1
96.583,83.49,300.0,4.1879,CC,0,66.2,66.2
96.667,83.56,300.0,4.1884,CC,0,66.2,66.2
96.750,83.62,300.0,4.1890,CC,0,66.3,66.3
96.833,83.69,300.0,4.1896,CC,0,66.3,66.3
96.917,83.76,300.0,4.1901,CC,0,66.4,66.4
97.000,83.83,300.0,4.1907,CC,0,66.4,66.4
97.083,83.90,300.0,4.1912,CC,0,66.5,66.5
97.167,83.97,300.0,4.1918,CC,0,66.5,66.5
97.250,84.04,300.0,4.1923,CC,0,66.6,66.6
97.333,84.11,300.0,4.1929,CC,0,66.6,66.6
97.417,84.18,300.0,4.1934,CC,0,66.7,66.7
97.500,84.25,300.0,4.1940,CC,0,66.8,66.8
97.583,84.32,300.0,4.1946,CC,0,66.8,66.8
97.667,84.39,300.0,4.1951,CC,0,66.9,66.9
97.750,84.46,300.0,4.1957,CC,0,66.9,66.9
97.833,84.53,300.0,4.1962,CC,0,67.0,67.0
97.917,84.60,300.0,4.1968,CC,0,67.0,67.0
98.000,84.67,300.0,4.1973,CC,0,67.1,67.1
98.083,84.74,300.0,4.1979,CC,0,67.1,67.1
98.167,84.81,300.0,4.1984,CC,0,67.2,67.2
98.250,84.87,300.0,4.1990,CC,0,67.2,67.2
98.333,84.94,300.0,4.1996,CC,0,67.3,67.3
98.417,85.01,299.8,4.2000,CV,0,67.3,67.3
98.500,85.08,298.5,4.2000,CV,0,67.4,67.4
98.583,85.15,297.3,4.2000,CV,0,67.4,67.4
98.667,85.22,296.1,4.2000,CV,0,67.5,67.5
98.750,85.29,294.9,4.2000,CV,0,67.5,67.5
98.833,85.36,293.7,4.2000,CV,0,67.6,67.6
98.917,85.43,292.5,4.2000,CV,0,67.6,67.6
99.000,85.49,291.4,4.2000,CV,0,67.7,67.7
99.083,85.56,290.2,4.2000,CV,0,67.8,67.8
99.167,85.63,289.0,4.2000,CV,0,67.8,67.8
99.250,85.70,287.8,4.2000,CV,0,67.9,67.9
99.333,85.76,286.7,4.2000,CV,0,67.9,67.9
99.417,85.83,285.5,4.2000,CV,0,68.0,68.0
99.500,85.89,284.3,4.2000,CV,0,68.0,68.0
99.583,85.96,283.2,4.2000,CV,0,68.1,68.1
99.667,86.03,282.1,4.2000,CV,0,68.1,68.1
99.750,86.09,280.9,4.2000,CV,0,68.2,68.2
99.833,86.16,279.8,4.2000,CV,0,68.2,68.2
99.917,86.22,278.6,4.2000,CV,0,68.3,68.3
100.000,86.29,277.5,4.2000,CV,0,68.3,68.3
100.083,86.35,276.4,4.2000,CV,0,68.4,68.4
100.167,86.41,275.3,4.2000,CV,0,68.4,68.4
100.250,86.48,274.1,4.2000,CV,0,68.5,68.5
100.333,86.54,273.0,4.2000,CV,0,68.5,68.5
100.417,86.60,271.9,4.2000,CV,0,68.6,68.6
100.500,86.67,270.8,4.2000,CV,0,68.7,68.7
100.583,86.73,269.7,4.2000,CV,0,68.7,68.7
100.667,86.79,268.6,4.2000,CV,0,68.8,68.8
100.750,86.85,267.6,4.2000,CV,0,68.8,68.8
100.833,86.92,266.5,4.2000,CV,0,68.9,68.9
100.917,86.98,265.4,4.2000,CV,0,68.9,68.9
101.000,87.04,264.3,4.2000,CV,0,69.0,69.0
101.083,87.10,263.2,4.2000,CV,0,69.0,69.0
101.167,87.16,262.2,4.2000,CV,0,69.1,69.1
101.250,87.22,261.1,4.2000,CV,0,69.1,69.1
101.333,87.28,260.1,4.2000,CV,0,69.2,69.2
101.417,87.34,259.0,4.2000,CV,0,69.2,69.2
101.500,87.40,258.0,4.2000,CV,0,69.3,69.3
101.583,87.46,256.9,4.2000,CV,0,69.3,69.3
101.667,87.52,255.9,4.2000,CV,0,69.4,69.4
101.750,87.58,254.8,4.2000,CV,0,69.4,69.4
101.833,87.64,253.8,4.2000,CV,0,69.5,69.5
101.917,87.70,252.8,4.2000,CV,0,69.5,69.5
102.000,87.76,251.7,4.2000,CV,0,69.6,69.6
102.083,87.82,250.7,4.2000,CV,0,69.7,69.7
102.167,87.87,249.7,4.2000,CV,0,69.7,69.7
102.250,87.93,248.7,4.2000,CV,0,69.8,69.8
102.333,87.99,247.7,4.2000,CV,0,69.8,69.8
102.417,88.05,246.7,4.2000,CV,0,69.9,69.9
102.500,88.10,245.7,4.2000,CV,0,69.9,69.9
102.583,88.16,244.7,4.2000,CV,0,70.0,70.0
102.667,88.22,243.7,4.2000,CV,0,70.0,70.0
102.750,88.27,242.7,4.2000,CV,0,70.1,70.1
102.833,88.33,241.7,4.2000,CV,0,70.1,70.1
102.917,88.39,240.8,4.2000,CV,0,70.2,70.2
103.000,88.44,239.8,4.2000,CV,0,70.2,70.2
103.083,88.50,238.8,4.2000,CV,0,70.3,70.3
103.167,88.55,237.8,4.2000,CV,0,70.3,70.3
103.250,88.61,236.9,4.2000,CV,0,70.4,70.4
103.333,88.66,235.9,4.2000,CV,0,70.4,70.4
103.417,88.72,235.0,4.2000,CV,0,70.5,70.5
103.500,88.77,234.0,4.2000,CV,0,70.5,70.5
103.583,88.83,233.1,4.2000,CV,0,70.6,70.6
103.667,88.88,232.1,4.2000,CV,0,70.7,70.7
103.750,88.93,231.2,4.2000,CV,0,70.7,70.7
103.833,88.99,230.2,4.2000,CV,0,70.8,70.8
103.917,89.04,229.3,4.2000,CV,0,70.8,70.8
104.000,89.09,228.4,4.2000,CV,0,70.9,70.9
104.083,89.15,227.5,4.2000,CV,0,70.9,70.9
104.167,89.20,226.5,4.2000,CV,0,71.0,71.0
104.250,89.25,225.6,4.2000,CV,0,71.0,71.0
104.333,89.30,224.7,4.2000,CV,0,71.1,71.1
104.417,89.35,223.8,4.2000,CV,0,71.1,71.1
104.500,89.41,222.9,4.2000,CV,0,71.2,71.2
104.583,89.46,222.0,4.2000,CV,0,71.2,71.2
104.667,89.51,221.1,4.2000,CV,0,71.3,71.3
104.750,89.56,220.2,4.2000,CV,0,71.3,71.3
104.833,89.61,219.3,4.2000,CV,0,71.4,71.4
104.917,89.66,218.4,4.2000,CV,0,71.4,71.4
105.000,89.71,217.5,4.2000,CV,0,71.5,71.5
105.083,89.76,216.6,4.2000,CV,0,71.6,71.6
105.167,89.81,215.8,4.2000,CV,0,71.6,71.6
105.250,89.86,214.9,4.2000,CV,0,71.7,71.7
105.333,89.91,214.0,4.2000,CV,0,71.7,71.7
105.417,89.96,213.2,4.2000,CV,0,71.8,71.8
105.500,90.01,212.3,4.2000,CV,0,71.8,71.8
105.583,90.06,211.4,4.2000,CV,0,71.9,71.9
105.667,90.11,210.6,4.2000,CV,0,71.9,71.9
105.750,90.16,209.7,4.2000,CV,0,72.0,72.0
105.833,90.21,208.9,4.2000,CV,0,72.0,72.0
105.917,90.26,208.0,4.2000,CV,0,72.1,72.1
106.000,90.30,207.2,4.2000,CV,0,72.1,72.1
106.083,90.35,206.3,4.2000,CV,0,72.2,72.2
106.167,90.40,205.5,4.2000,CV,0,72.2,72.2
106.250,90.45,204.7,4.2000,CV,0,72.3,72.3
106.333,90.49,203.8,4.2000,CV,0,72.3,72.3
106.417,90.54,203.0,4.2000,CV,0,72.4,72.4
106.500,90.59,202.2,4.2000,CV,0,72.5,72.5
106.583,90.64,201.4,4.2000,CV,0,72.5,72.5
106.667,90.68,200.6,4.2000,CV,0,72.6,72.6
106.750,90.73,199.7,4.2000,CV,0,72.6,72.6
